"Account"	"Businees Unit"	"Currency"	"Year"	"Scenario"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"Sales"	"Software"	"USD"	"2012"	"Actuals"	"90924002"	"82606134"	"72780220"	"52943701"	"77528109"	"96384524"	"77345061"	"98290873"	"79879127"	"95373403"	"54887908"	"82703597"
"Cost of Goods Sold"	"Software"	"USD"	"2012"	"Actuals"	"-41623278"	"-40464347"	"-30806326"	"-21412962"	"-37047252"	"-44819597"	"-34847393"	"-47903350"	"-35880653"	"-44982115"	"-26929424"	"-34233473"
"Commissions Expense"	"Software"	"USD"	"2012"	"Actuals"	"-4454359"	"-3386032"	"-3389705"	"-2149257"	"-3168079"	"-4417624"	"-3386461"	"-4052846"	"-3418737"	"-4365527"	"-2455561"	"-3646726"
"Payroll Expense"	"Software"	"USD"	"2012"	"Actuals"	"-9901680"	"-9871172"	"-8459696"	"-6303408"	"-8493573"	"-11082494"	"-8081033"	"-11070018"	"-8410665"	"-10081727"	"-6300578"	"-9099438"
"Travel & Entertainment Expense"	"Software"	"USD"	"2012"	"Actuals"	"-951255"	"-838985"	"-872700"	"-624416"	"-919835"	"-1085296"	"-818602"	"-1040585"	"-803190"	"-1158623"	"-611335"	"-941542"
"R&D Expense"	"Software"	"USD"	"2012"	"Actuals"	"-4094116"	"-3599297"	"-3213050"	"-2466394"	"-3350416"	"-3973250"	"-3752045"	"-4170217"	"-3524451"	"-4281007"	"-2727155"	"-3711633"
"Consulting Expense"	"Software"	"USD"	"2012"	"Actuals"	"-5261471"	"-4215309"	"-3781799"	"-2788120"	"-4656777"	"-5399647"	"-4448901"	"-5654825"	"-4598250"	"-5505410"	"-2908553"	"-4664773"
"Software/Hardware Expense"	"Software"	"USD"	"2012"	"Actuals"	"-7549491"	"-6744180"	"-5424173"	"-3818856"	"-5935455"	"-7685036"	"-6661232"	"-8035238"	"-6167182"	"-8233098"	"-4016737"	"-6547629"
"Marketing Expense"	"Software"	"USD"	"2012"	"Actuals"	"-1865763"	"-2004386"	"-1667521"	"-1103735"	"-1617994"	"-2316878"	"-1579791"	"-2223673"	"-1869698"	"-2043854"	"-1365202"	"-1696008"
"Sales"	"Advertising"	"USD"	"2012"	"Actuals"	"20003280"	"24781840"	"15283846"	"15883110"	"19382027"	"22168441"	"18562815"	"29487262"	"23164947"	"27658287"	"14819735"	"18194791"
"Cost of Goods Sold"	"Advertising"	"USD"	"2012"	"Actuals"	"-9353324"	"-11513937"	"-6166965"	"-7501106"	"-8496461"	"-9798685"	"-8555070"	"-14039373"	"-11551839"	"-13628227"	"-7257645"	"-9083320"
"Commissions Expense"	"Advertising"	"USD"	"2012"	"Actuals"	"-941821"	"-1002323"	"-746736"	"-764074"	"-808144"	"-1061422"	"-808354"	"-1421840"	"-950267"	"-1278394"	"-675574"	"-772637"
"Payroll Expense"	"Advertising"	"USD"	"2012"	"Actuals"	"-2496366"	"-2697904"	"-1679239"	"-1918713"	"-2215557"	"-2480892"	"-2182363"	"-3410389"	"-2427536"	"-3305300"	"-1808374"	"-2032444"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2012"	"Actuals"	"-212638"	"-297458"	"-167930"	"-194736"	"-235827"	"-260283"	"-221103"	"-348081"	"-260895"	"-321588"	"-172652"	"-185865"
"R&D Expense"	"Advertising"	"USD"	"2012"	"Actuals"	"-977169"	"-1029549"	"-674412"	"-792920"	"-900465"	"-993534"	"-884213"	"-1430413"	"-1146956"	"-1115640"	"-638663"	"-822644"
"Consulting Expense"	"Advertising"	"USD"	"2012"	"Actuals"	"-1176605"	"-1291439"	"-934063"	"-937518"	"-1139418"	"-1356373"	"-1140096"	"-1606577"	"-1429418"	"-1399794"	"-752770"	"-1078181"
"Software/Hardware Expense"	"Advertising"	"USD"	"2012"	"Actuals"	"-1729022"	"-2125980"	"-1266805"	"-1181160"	"-1678429"	"-1922968"	"-1563338"	"-2266251"	"-1651944"	"-2138006"	"-1069556"	"-1550361"
